원룸명,주소,호실,조건,연락처,옵션,1층현관
A1(에이원),옥계동744-1,원룸 101(단기가),200/25관리비5만별도,010-5879-5001010-7132-7230,풀옵션,101#1547#
A1(에이원),옥계동744-1,투룸 303,500/50,010-5879-5001010-7132-7230,풀옵션,101#1547#
G파크,옥계동561-16,투룸 202(10/10),300/38,010-3027-9739,풀옵션,
LCT 1차(리모델링),옥계동749-10,"원룸 201,303",1000/35.반전,010-2471-0861010-4345-1359,풀옵션,#8888
LCT 1차(리모델링),옥계동749-10,미투 501,2000/45,010-2471-0861010-4345-1359,풀옵션,#8888
LCT 1차(리모델링),옥계동749-10,투룸 205,2000/60,010-2471-0861010-4345-1359,풀옵션,#8888
LCT 1차(리모델링),옥계동749-10,투룸 206(大),8500/10.반전,010-2471-0861010-4345-1359,풀옵션,#8888
굿모닝하우스,옥계동800-3,원룸 301,100/25,010-3002-7700,풀옵션,8799
굿모닝하우스,옥계동800-3,미투 203,300/37,010-3002-7700,풀옵션,8799
굿모닝하우스,옥계동800-3,원룸 302,100/25,010-4523-9733(세),풀옵션,8799
그랑프리1,옥계동959,"미투 201,205,506",300/38,010-2471-0861,풀옵션,#1234*
그레이스,옥계동745-4,"원룸 205,206,505",200/35,010-7571-4717,풀옵션,5500
그레이스,옥계동745-4,미투 303,300/40,010-7571-4717,풀옵션,5500
글로리아,옥계동793-3,원룸 506,200/30,010-3002-7700,풀옵션,1858
금오고을,옥계동623-12,원룸 502,200/26,010-6877-7730,풀옵션,0743
금오산이,옥계동741-11,원룸 501,200/27,010-3002-7700,풀옵션,2510
금오산이,옥계동741-11,투룸 503,400/45,010-3002-7700,풀옵션,2510
나이스빌A,옥계동793-4,원룸 206,200/25,010-4607-9292,풀옵션,7864
노블레스,옥계동628-2,미투 202,200/40,010-3868-1905(세),풀옵션,#2345#
대안첼시빌,옥계동802-1,"원룸 201,206 (단기가)",200/30.전세,010-4198-1091,풀옵션,2020#
대안첼시빌,옥계동802-1,투룸 302,5000/15,010-5108-7381(세),풀옵션,2020#
도경하이츠,옥계동741-9,원룸 201,200/29,010-3470-9363,풀옵션,
도경하이츠,옥계동741-9,원룸 506,200/31,010-4543-3143(세),풀옵션,
드림에버빌,옥계동747-5,원룸 505,3000/5,010-6319-4340,풀옵션,9815
든솔B,옥계동869-13,"원룸 201,501,502",200/28,010-6331-7417,풀옵션,6189
라이프빌,옥계동740-10,원룸 306,200/30,010-7473-8552,풀옵션,201#3088#
리더스빌,옥계동748-4,"미투 303,305",200/37.반전,010-3470-9363,풀옵션,
명광하이츠,옥계동797-4,원룸 505,200/27,010-2975-4661,풀옵션,8762
무지개마을,옥계동750-1,원룸 302,200/26,010-7207-8812,풀옵션,
미다소올레,옥계동960,미투 202,500/40,010-3511-9789,풀옵션,#3588#
미소시티,옥계동735-5,원룸 305,200/30,010-5587-8654,풀옵션,8160
보광빌A,옥계동561-24,미투 203,300/35,010-2383-8675,풀옵션,8675
보광빌A,옥계동561-24,미투 303,300/30,010-2383-8675,풀옵션,8675
보광빌B,옥계동561-2,투룸 402(9월말)(수수료300),8500/5,010-2281-3665(세)010-6724-0050(세),풀옵션,9592
보디가드,옥계동800-1,투룸 502(리모델링),8500/10LH 가능,010-3410-9663,풀옵션,2468
보물섬,옥계동799-7,투룸 203,300/52,010-4288-8749,풀옵션,8749
상그리아B,옥계동735-3,원룸 503,2800/5,010-6393-3982(세),풀옵션,키5543종
상그리아C,옥계동887-2,미투 301,200/37,010-4537-3978,풀옵션,키5543종
상우빌,옥계동735-2,원룸 303,200/28,010-3530-8825,풀옵션,
